Approach,Model,Corruption Type,Date,Fscore
Salt&Pepper,ResNet50,frosted_glass_blur_3,2024-04-12 02:22:01.855682,0.8382451684534971
Salt&Pepper,ResNet50,gaussian_blur_3,2024-04-12 02:22:04.207434,0.8539374152084005
Salt&Pepper,ResNet50,gaussian_noise_3,2024-04-12 02:22:06.565469,0.8762281724733766
Salt&Pepper,ResNet50,impulse_noise_3,2024-04-12 02:22:08.921862,0.8630116999018405
Salt&Pepper,ResNet50,jpeg_compression_3,2024-04-12 02:22:11.325924,0.8841103877918032
Salt&Pepper,ResNet50,motion_blur_3,2024-04-12 02:22:13.664479,0.755831359149051
Salt&Pepper,ResNet50,pixelate_3,2024-04-12 02:22:15.999070,0.8963166108570395
Salt&Pepper,ResNet50,saturate_3,2024-04-12 02:22:18.347622,0.8900402319781253
Salt&Pepper,ResNet50,shot_noise_3,2024-04-12 02:22:20.708278,0.8898599603177105
Salt&Pepper,ResNet50,snow_3,2024-04-12 02:22:23.062583,0.7992950576941851
Salt&Pepper,ResNet50,spatter_3,2024-04-12 02:22:25.403952,0.7841470486025522
Salt&Pepper,ResNet50,speckle_noise_3,2024-04-12 02:22:27.760679,0.8957822817856904
Salt&Pepper,ResNet50,zoom_blur_3,2024-04-12 02:22:30.099246,0.8253323802431964
Salt&Pepper,ResNet50,brightness_3,2024-04-12 02:32:35.328356,0.899547666445254
Salt&Pepper,ResNet50,contrast_3,2024-04-12 02:32:38.612590,0.454487157456235
Salt&Pepper,ResNet50,defocus_blur_3,2024-04-12 02:32:40.958912,0.9201538106865508
Salt&Pepper,ResNet50,elastic_3,2024-04-12 02:32:43.292336,0.8353221189608664
Salt&Pepper,ResNet50,fog_3,2024-04-12 02:32:45.647914,0.6385802312456199
Salt&Pepper,ResNet50,frost_3,2024-04-12 02:32:47.994875,0.7460722366793876
Salt&Pepper,ResNet50,frosted_glass_blur_3,2024-04-12 02:32:50.341418,0.8875004875317971
Salt&Pepper,ResNet50,gaussian_blur_3,2024-04-12 02:32:52.708264,0.89389409382888
Salt&Pepper,ResNet50,gaussian_noise_3,2024-04-12 02:32:55.071830,0.9424942600235846
Salt&Pepper,ResNet50,impulse_noise_3,2024-04-12 02:32:57.435043,0.93113715276932
Salt&Pepper,ResNet50,jpeg_compression_3,2024-04-12 02:32:59.792122,0.9417449663532728
Salt&Pepper,ResNet50,motion_blur_3,2024-04-12 02:33:02.148089,0.7769893063153699
Salt&Pepper,ResNet50,pixelate_3,2024-04-12 02:33:04.553845,0.9431117290834206
Salt&Pepper,ResNet50,saturate_3,2024-04-12 02:33:06.897539,0.928255163590732
Salt&Pepper,ResNet50,shot_noise_3,2024-04-12 02:33:09.254320,0.9452871919041717
Salt&Pepper,ResNet50,snow_3,2024-04-12 02:33:11.605118,0.8473964458083347
Salt&Pepper,ResNet50,spatter_3,2024-04-12 02:33:13.963562,0.8579121837428076
Salt&Pepper,ResNet50,speckle_noise_3,2024-04-12 02:33:16.309662,0.9468148466716344
Salt&Pepper,ResNet50,zoom_blur_3,2024-04-12 02:33:18.654924,0.8629556968086753
Salt&Pepper,ResNet50,brightness_3,2024-04-12 02:41:56.079602,0.931541281124771
