Approach,Model,Corruption Type,Date,Training Time,Fscore
Salt&Pepper,ResNet50,defocus_blur_3,2024-04-14 05:13:09.385162,622.8472981452942,0.7487200770985349
Salt&Pepper,ResNet50,elastic_3,2024-04-14 05:13:11.721697,622.8472981452942,0.6994241425465033
Salt&Pepper,ResNet50,fog_3,2024-04-14 05:13:14.059594,622.8472981452942,0.5222847585264223
Salt&Pepper,ResNet50,frost_3,2024-04-14 05:13:16.396192,622.8472981452942,0.5840589151660781
Salt&Pepper,ResNet50,frosted_glass_blur_3,2024-04-14 05:13:18.734821,622.8472981452942,0.7374566581468185
Salt&Pepper,ResNet50,gaussian_blur_3,2024-04-14 05:13:21.063446,622.8472981452942,0.7271254085966143
Salt&Pepper,ResNet50,gaussian_noise_3,2024-04-14 05:13:23.413690,622.8472981452942,0.7723280997714508
Salt&Pepper,ResNet50,impulse_noise_3,2024-04-14 05:13:25.735017,622.8472981452942,0.7669333224559858
Salt&Pepper,ResNet50,jpeg_compression_3,2024-04-14 05:13:28.072852,622.8472981452942,0.773299650164461
Salt&Pepper,ResNet50,motion_blur_3,2024-04-14 05:13:30.404072,622.8472981452942,0.6725376345818777
Salt&Pepper,ResNet50,pixelate_3,2024-04-14 05:13:32.721623,622.8472981452942,0.7715119200062744
Salt&Pepper,ResNet50,saturate_3,2024-04-14 05:13:35.048708,622.8472981452942,0.7636933433608804
Salt&Pepper,ResNet50,shot_noise_3,2024-04-14 05:13:37.379641,622.8472981452942,0.777510223488424
