Approach,Model,Corruption Type,Date,Training Time,Fscore
Salt&Pepper,ResNet50,frost_3,2024-04-16 21:24:58.638498,461.1232681274414,0.4515837598126985
Salt&Pepper,ResNet50,frosted_glass_blur_3,2024-04-16 21:25:01.074846,461.1232681274414,0.5381904618360184
Salt&Pepper,ResNet50,gaussian_blur_3,2024-04-16 21:25:03.564168,461.1232681274414,0.5387321265166893
Salt&Pepper,ResNet50,gaussian_noise_3,2024-04-16 21:25:06.039872,461.1232681274414,0.5388574141374068
Salt&Pepper,ResNet50,impulse_noise_3,2024-04-16 21:25:08.505737,461.1232681274414,0.5386542927489528
Salt&Pepper,ResNet50,jpeg_compression_3,2024-04-16 21:25:10.955425,461.1232681274414,0.5461240436708594
Salt&Pepper,ResNet50,motion_blur_3,2024-04-16 21:25:13.398370,461.1232681274414,0.5080926390752379
Salt&Pepper,ResNet50,pixelate_3,2024-04-16 21:25:15.843281,461.1232681274414,0.5501669104015907
Salt&Pepper,ResNet50,saturate_3,2024-04-16 21:25:18.274508,461.1232681274414,0.5454055772083548
Salt&Pepper,ResNet50,shot_noise_3,2024-04-16 21:25:20.725084,461.1232681274414,0.5388016485454064
Salt&Pepper,ResNet50,snow_3,2024-04-16 21:25:23.177902,461.1232681274414,0.5376590829561343
Salt&Pepper,ResNet50,spatter_3,2024-04-16 21:25:25.616505,461.1232681274414,0.527667122248139
Salt&Pepper,ResNet50,speckle_noise_3,2024-04-16 21:25:28.070678,461.1232681274414,0.5454055271176365
Salt&Pepper,ResNet50,zoom_blur_3,2024-04-16 21:25:30.520579,461.1232681274414,0.5319113121873285
Gaussian,ResNet50,in-sample,2024-04-16 21:44:01.705246,1106.3618626594543,0.7120053190536708
Gaussian,ResNet50,brightness_3,2024-04-16 21:44:04.715153,1106.3618626594543,0.677019766782669
Gaussian,ResNet50,contrast_3,2024-04-16 21:44:07.183281,1106.3618626594543,0.2933520981555859
Gaussian,ResNet50,defocus_blur_3,2024-04-16 21:44:09.653241,1106.3618626594543,0.6355387107370073
Gaussian,ResNet50,elastic_3,2024-04-16 21:44:12.147313,1106.3618626594543,0.6129972816419726
Gaussian,ResNet50,fog_3,2024-04-16 21:44:14.621924,1106.3618626594543,0.4876116356419824
Gaussian,ResNet50,frost_3,2024-04-16 21:44:17.118375,1106.3618626594543,0.5534265342966331
Gaussian,ResNet50,frosted_glass_blur_3,2024-04-16 21:44:19.578244,1106.3618626594543,0.6422506646912494
Gaussian,ResNet50,gaussian_blur_3,2024-04-16 21:44:22.037679,1106.3618626594543,0.5921387421499839
Gaussian,ResNet50,gaussian_noise_3,2024-04-16 21:44:24.497532,1106.3618626594543,0.6963586208479693
Gaussian,ResNet50,impulse_noise_3,2024-04-16 21:44:26.968215,1106.3618626594543,0.6706985641202531
Gaussian,ResNet50,jpeg_compression_3,2024-04-16 21:44:29.423404,1106.3618626594543,0.6987687025263163
Gaussian,ResNet50,motion_blur_3,2024-04-16 21:44:31.880873,1106.3618626594543,0.516651140708666
Gaussian,ResNet50,pixelate_3,2024-04-16 21:44:34.346800,1106.3618626594543,0.6889527058926761
Gaussian,ResNet50,saturate_3,2024-04-16 21:44:36.809305,1106.3618626594543,0.704596043566208
Gaussian,ResNet50,shot_noise_3,2024-04-16 21:44:39.259292,1106.3618626594543,0.7000142528657747
Gaussian,ResNet50,snow_3,2024-04-16 21:44:41.716230,1106.3618626594543,0.6365217300690318
Gaussian,ResNet50,spatter_3,2024-04-16 21:44:44.171703,1106.3618626594543,0.6414538135879556
Gaussian,ResNet50,speckle_noise_3,2024-04-16 21:44:46.640932,1106.3618626594543,0.6979484678121523
Gaussian,ResNet50,zoom_blur_3,2024-04-16 21:44:49.113238,1106.3618626594543,0.5936458162475371
Gaussian,ResNet50,in-sample,2024-04-16 21:59:49.745827,895.7847809791565,0.6412034482369544
Gaussian,ResNet50,brightness_3,2024-04-16 21:59:52.737943,895.7847809791565,0.5853956656849476
Gaussian,ResNet50,contrast_3,2024-04-16 21:59:55.175702,895.7847809791565,0.2062871805355414
Gaussian,ResNet50,defocus_blur_3,2024-04-16 21:59:57.620694,895.7847809791565,0.559546297527615
Gaussian,ResNet50,elastic_3,2024-04-16 22:00:00.065149,895.7847809791565,0.5302937935158836
Gaussian,ResNet50,fog_3,2024-04-16 22:00:02.528918,895.7847809791565,0.35376706808508
Gaussian,ResNet50,frost_3,2024-04-16 22:00:04.999275,895.7847809791565,0.4320019412339524
Gaussian,ResNet50,frosted_glass_blur_3,2024-04-16 22:00:07.517425,895.7847809791565,0.5708154863498518
Gaussian,ResNet50,gaussian_blur_3,2024-04-16 22:00:09.980971,895.7847809791565,0.5208942318332819
Gaussian,ResNet50,gaussian_noise_3,2024-04-16 22:00:12.437774,895.7847809791565,0.6607154428597285
Gaussian,ResNet50,impulse_noise_3,2024-04-16 22:00:14.880091,895.7847809791565,0.6447805859861901
Gaussian,ResNet50,jpeg_compression_3,2024-04-16 22:00:17.316998,895.7847809791565,0.6338945027713916
Gaussian,ResNet50,motion_blur_3,2024-04-16 22:00:19.760605,895.7847809791565,0.4692676132219615
Gaussian,ResNet50,pixelate_3,2024-04-16 22:00:22.197147,895.7847809791565,0.6196300868358053
Gaussian,ResNet50,saturate_3,2024-04-16 22:00:24.673184,895.7847809791565,0.6501806997771933
Gaussian,ResNet50,shot_noise_3,2024-04-16 22:00:27.113534,895.7847809791565,0.6636064093035559
Gaussian,ResNet50,snow_3,2024-04-16 22:00:29.551159,895.7847809791565,0.5798256755799509
Gaussian,ResNet50,spatter_3,2024-04-16 22:00:31.997301,895.7847809791565,0.6038057213812139
Gaussian,ResNet50,speckle_noise_3,2024-04-16 22:00:34.436368,895.7847809791565,0.6613272704889056
Gaussian,ResNet50,zoom_blur_3,2024-04-16 22:00:36.882722,895.7847809791565,0.5059502457950005
Gaussian,ResNet50,in-sample,2024-04-16 22:10:36.974035,595.3775572776794,0.5928910507036521
Gaussian,ResNet50,brightness_3,2024-04-16 22:10:39.857442,595.3775572776794,0.5771610135854826
Gaussian,ResNet50,contrast_3,2024-04-16 22:10:42.226801,595.3775572776794,0.1618903596793554
Gaussian,ResNet50,defocus_blur_3,2024-04-16 22:10:44.582793,595.3775572776794,0.5020813570515188
Gaussian,ResNet50,elastic_3,2024-04-16 22:10:46.943834,595.3775572776794,0.4744299447069676
Gaussian,ResNet50,fog_3,2024-04-16 22:10:49.308964,595.3775572776794,0.3209647217608447
Gaussian,ResNet50,frost_3,2024-04-16 22:10:51.662033,595.3775572776794,0.4790345230616446
Gaussian,ResNet50,frosted_glass_blur_3,2024-04-16 22:10:54.027136,595.3775572776794,0.5145651787951747
Gaussian,ResNet50,gaussian_blur_3,2024-04-16 22:10:56.381017,595.3775572776794,0.4540386369582343
Gaussian,ResNet50,gaussian_noise_3,2024-04-16 22:10:58.728293,595.3775572776794,0.6036234896948608
Gaussian,ResNet50,impulse_noise_3,2024-04-16 22:11:01.095502,595.3775572776794,0.5790933918562187
Gaussian,ResNet50,jpeg_compression_3,2024-04-16 22:11:03.452696,595.3775572776794,0.5839092608346247
Gaussian,ResNet50,motion_blur_3,2024-04-16 22:11:05.801142,595.3775572776794,0.4014993781431102
Gaussian,ResNet50,pixelate_3,2024-04-16 22:11:08.161310,595.3775572776794,0.5696880534302275
Gaussian,ResNet50,saturate_3,2024-04-16 22:11:10.517539,595.3775572776794,0.5779619541099585
Gaussian,ResNet50,shot_noise_3,2024-04-16 22:11:12.870010,595.3775572776794,0.6041790218204656
Gaussian,ResNet50,snow_3,2024-04-16 22:11:15.236467,595.3775572776794,0.5289024903583827
Gaussian,ResNet50,spatter_3,2024-04-16 22:11:17.603928,595.3775572776794,0.5467423981928702
Gaussian,ResNet50,speckle_noise_3,2024-04-16 22:11:20.027076,595.3775572776794,0.6004307175233063
Gaussian,ResNet50,zoom_blur_3,2024-04-16 22:11:22.437992,595.3775572776794,0.4372708786791386
