strategy,model,evaluation_set,date_finished,training_time,fold,f1-score(weighted avg),accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),support(weighted avg)
DefaultAug+S&P,LSTM,In-Distribution,2024-12-17 16:33:28.534160,2422.99742603302,1,0.912435510989262,0.9125,0.2652680873870849,0.9389567147613762,0.8905263157894737,0.9141004862236628,1900.0,0.9598558929490478,0.9815789473684212,0.9705958886286756,1900.0,0.8796198521647307,0.8768421052631579,0.8782287822878229,1900.0,0.87302396736359,0.9010526315789472,0.8868168868168868,1900.0,0.9128641068096862,0.9125,0.912435510989262,7600.0,0.9128641068096862,0.9125,7600.0
DefaultAug+S&P,LSTM,In-Distribution,2024-12-17 17:15:40.104620,2399.541277885437,2,0.9104030532569084,0.910657894736842,0.2787073850631714,0.920813269127876,0.9057894736842104,0.913239586097108,1900.0,0.9493865030674846,0.9773684210526316,0.9631742738589212,1900.0,0.8967213114754098,0.8636842105263158,0.8798927613941019,1900.0,0.8750642673521851,0.8957894736842106,0.8853055916775033,1900.0,0.9104963377557388,0.9106578947368422,0.9104030532569084,7600.0,0.9104963377557388,0.910657894736842,7600.0
DefaultAug+S&P,LSTM,In-Distribution,2024-12-17 17:57:59.239982,2408.774175167084,3,0.9121827221742216,0.9123684210526316,0.2749627232551574,0.9279957012358948,0.9089473684210526,0.9183727731986174,1900.0,0.9517948717948718,0.9768421052631578,0.964155844155844,1900.0,0.8939393939393939,0.8694736842105263,0.8815368196371398,1900.0,0.8753219989696033,0.8942105263157895,0.884665451705285,1900.0,0.9122629914849408,0.9123684210526316,0.9121827221742216,7600.0,0.9122629914849408,0.9123684210526316,7600.0
DefaultAug+S&P,LSTM,In-Distribution,2024-12-17 18:40:57.238370,2432.687672138214,4,0.9101435659113408,0.9102631578947368,0.2822100520133972,0.9306010928961748,0.8963157894736842,0.91313672922252,1900.0,0.954312114989733,0.978421052631579,0.966216216216216,1900.0,0.8740198640878202,0.88,0.876999737739313,1900.0,0.8821372446306966,0.8863157894736842,0.8842215804673144,1900.0,0.9102675791511062,0.9102631578947368,0.9101435659113408,7600.0,0.910267579151106,0.9102631578947368,7600.0
DefaultAug+S&P,LSTM,In-Distribution,2024-12-17 19:21:12.490453,2284.0465087890625,5,0.91148933909488,0.911578947368421,0.2732009291648865,0.946338736724427,0.8910526315789473,0.917863919761453,1900.0,0.9524539877300614,0.9805263157894736,0.966286307053942,1900.0,0.8809396689802456,0.868421052631579,0.8746355685131195,1900.0,0.8688193743693239,0.9063157894736842,0.8871715610510046,1900.0,0.9121379419510144,0.911578947368421,0.9114893390948798,7600.0,0.9121379419510144,0.911578947368421,7600.0
DefaultAug+S&P,LSTM,In-Distribution,2024-12-17 20:02:10.516267,2328.8372831344604,6,0.9091687451144584,0.9094736842105264,0.2689916491508484,0.931980252331322,0.8942105263157895,0.9127048079505776,1900.0,0.9483020780537252,0.9847368421052632,0.9661760908856184,1900.0,0.8882224645583424,0.8573684210526316,0.8725227637921801,1900.0,0.8695431472081219,0.901578947368421,0.8852713178294573,1900.0,0.9095119855378778,0.9094736842105262,0.9091687451144584,7600.0,0.9095119855378778,0.9094736842105264,7600.0
DefaultAug+S&P,LSTM,In-Distribution,2024-12-17 20:42:54.326060,2316.2371129989624,7,0.9106880196453406,0.9107894736842104,0.2803472578525543,0.9396790260099612,0.8936842105263157,0.9161046668465066,1900.0,0.9554303278688524,0.9815789473684212,0.9683281412253376,1900.0,0.8877495952509444,0.8657894736842106,0.8766320277111646,1900.0,0.8621730382293763,0.9021052631578949,0.8816872427983539,1900.0,0.9112579968397836,0.9107894736842104,0.9106880196453404,7600.0,0.9112579968397836,0.9107894736842104,7600.0
DefaultAug+S&P,LSTM,In-Distribution,2024-12-17 21:24:39.346388,2380.5593128204346,8,0.9096372249235624,0.9097368421052632,0.2714104652404785,0.934399117971334,0.8921052631578947,0.9127625201938612,1900.0,0.954241645244216,0.9768421052631578,0.965409622886866,1900.0,0.8917890157694399,0.8631578947368421,0.8772399037175715,1900.0,0.8606393606393606,0.906842105263158,0.8831368528959509,1900.0,0.9102672849060875,0.9097368421052632,0.9096372249235622,7600.0,0.9102672849060875,0.9097368421052632,7600.0
DefaultAug+S&P,LSTM,In-Distribution,2024-12-17 22:07:44.136749,2446.541068792343,9,0.9138840713865948,0.9139473684210526,0.2678321599960327,0.9342033713974986,0.9042105263157896,0.9189622893821876,1900.0,0.9622153209109732,0.978421052631579,0.970250521920668,1900.0,0.8833865814696485,0.8731578947368421,0.8782424563260984,1900.0,0.876473603280369,0.9,0.8880810179174241,1900.0,0.9140697192646224,0.9139473684210526,0.9138840713865946,7600.0,0.9140697192646224,0.9139473684210526,7600.0
DefaultAug+S&P,LSTM,In-Distribution,2024-12-17 22:49:23.889135,2365.167867898941,10,0.9105773052529862,0.9106578947368421,0.2702433168888092,0.9328932893289329,0.8926315789473684,0.9123184507799894,1900.0,0.9562306900102987,0.9773684210526316,0.9666840187402395,1900.0,0.8782929399367756,0.8773684210526316,0.8778304370721433,1900.0,0.8759011328527292,0.8952631578947369,0.8854763144195732,1900.0,0.9108295130321841,0.9106578947368421,0.9105773052529863,7600.0,0.9108295130321841,0.9106578947368421,7600.0
